26 650
1 2 -697
1 3 706
1 4 474
1 5 459
1 6 782
1 7 746
1 8 375
1 9 695
1 10 501
1 11 565
1 12 657
1 13 721
1 14 635
1 15 611
1 16 875
1 17 556
1 18 802
1 19 595
1 20 763
1 21 788
1 22 760
1 23 317
1 24 694
1 25 264
1 26 160
2 1 697
2 3 812
2 4 271
2 5 514
2 6 275
2 7 784
2 8 717
2 9 516
2 10 148
2 11 90
2 12 256
2 13 742
2 14 773
2 15 433
2 16 961
2 17 49
2 18 446
2 19 802
2 20 942
2 21 896
2 22 806
2 23 377
2 24 628
2 25 316
2 26 577
3 1 706
3 2 812
3 4 836
3 5 490
3 6 1161
3 7 123
3 8 636
3 9 890
3 10 794
3 11 800
3 12 650
3 13 124
3 14 906
3 15 788
3 16 1220
3 17 802
3 18 1207
3 19 388
3 20 279
3 21 110
3 22 144
3 23 705
3 24 404
3 25 768
3 26 677
4 1 474
4 2 271
4 3 836
4 5 377
4 6 477
4 7 1161
4 8 573
4 9 392
4 10 199
4 11 273
4 12 260
4 13 681
4 14 570
4 15 271
4 16 812
4 17 244
4 18 476
4 19 712
4 20 888
4 21 908
4 22 734
4 23 129
4 24 673
4 25 92
4 26 300
5 1 459
5 2 514
5 3 490
5 4 377
5 6 687
5 7 886
5 8 78
5 9 485
5 10 469
5 11 380
5 12 263
5 13 618
5 14 721
5 15 452
5 16 915
5 17 353
5 18 691
5 19 572
5 20 824
5 21 846
5 22 654
5 23 235
5 24 654
5 25 322
5 26 419
6 1 782
6 2 275
6 3 1161
6 4 477
6 5 687
6 7 1024
6 8 952
6 9 844
6 10 285
6 11 241
6 12 398
6 13 441
6 14 860
6 15 412
6 16 477
6 17 180
6 18 123
6 19 588
6 20 1185
6 21 1229
6 22 1163
6 23 602
6 24 929
6 25 553
6 26 710
7 1 746
7 2 784
7 3 123
7 4 1161
7 5 886
7 6 1024
7 8 718
7 9 1147
7 10 1051
7 11 1058
7 12 908
7 13 292
7 14 1180
7 15 1042
7 16 1332
7 17 1075
7 18 1330
7 19 529
7 20 297
7 21 235
7 22 89
7 23 831
7 24 585
7 25 956
7 26 865
8 1 375
8 2 717
8 3 636
8 4 573
8 5 78
8 6 952
8 7 718
8 9 826
8 10 579
8 11 666
8 12 394
8 13 822
8 14 1042
8 15 684
8 16 1212
8 17 777
8 18 1127
8 19 511
8 20 599
8 21 635
8 22 628
8 23 493
8 24 560
8 25 504
8 26 671
9 1 695
9 2 516
9 3 890
9 4 392
9 5 485
9 6 844
9 7 1147
9 8 826
9 10 376
9 11 356
9 12 513
9 13 772
9 14 304
9 15 137
9 16 285
9 17 419
9 18 252
9 19 417
9 20 1150
9 21 1194
9 22 1128
9 23 529
9 24 856
9 25 377
9 26 386
10 1 501
10 2 148
10 3 794
10 4 199
10 5 469
10 6 285
10 7 1051
10 8 579
10 9 376
10 11 158
10 12 315
10 13 736
10 14 566
10 15 196
10 16 702
10 17 180
10 18 401
10 19 802
10 20 949
10 21 903
10 22 813
10 23 346
10 24 585
10 25 275
10 26 537
11 1 565
11 2 90
11 3 800
11 4 273
11 5 380
11 6 241
11 7 1058
11 8 666
11 9 356
11 10 158
11 12 237
11 13 749
11 14 572
11 15 215
11 16 771
11 17 71
11 18 451
11 19 712
11 20 859
11 21 813
11 22 721
11 23 407
11 24 631
11 25 244
11 26 497
12 1 657
12 2 256
12 3 650
12 4 260
12 5 263
12 6 398
